id;content;timestamp;is_read
1;../fake-data/blob/hipster.txt;2025-02-13T08:42:31;false
2;../fake-data/blob/hipster.txt;2025-02-13T04:06:06;true
3;../fake-data/blob/hipster.txt;2025-02-12T22:52:29;true
4;../fake-data/blob/hipster.txt;2025-02-13T08:49:43;true
5;../fake-data/blob/hipster.txt;2025-02-12T23:42:38;false
6;../fake-data/blob/hipster.txt;2025-02-13T07:32:12;true
7;../fake-data/blob/hipster.txt;2025-02-12T14:29:41;false
8;../fake-data/blob/hipster.txt;2025-02-12T19:53:49;false
9;../fake-data/blob/hipster.txt;2025-02-13T03:58:42;false
10;../fake-data/blob/hipster.txt;2025-02-12T22:40:27;true
